,autor,comentario,data,nota
0, ANDRO TUTORS ,  Superecell por favor na próxima atualização tirem esse lance de abrir um baú de cada vez pra que possa abrir todos de uma vez por que ficar esperando 3 horas 8 horas 12 horas por um baú enquanto a gente não tem espaço pra colocar os baús isso atrapalha o nosso progresso por favor levem a minha opinião em consideração  Resenha completa  ,19 de janeiro de 2018,Com a classificação 5 de cinco estrelas
1, Pônei de Tróia ,  Só peço pros desenvolvedores resolverem o problema do teclado que buga na hora de digitar e não abre de jeito nenhum E também pra colocarem um sistema de balanceamento de níveis porque têm vários caras que descem de arena só pra trolagem nas arenas mais baixas  Resenha completa  ,17 de janeiro de 2018,Com a classificação 5 de cinco estrelas
2, fabricio silva ,  Melhor jogo de cartas para android e ios desenvolvem mais o jogo para abrir o baú mais rapido sem gastar gemas coloquem para adicionar amigos pela tag do jogador também quem concorda deixa like!👍coloquem para trocar de nome quantas vezes quiser por favor porquê me trollaram quando atualizarem coloquem essa opção!  Resenha completa  ,20 de janeiro de 2018,Com a classificação 5 de cinco estrelas
3, Davi mafoo ,  Esse jogo é muito muito bom gráfico é ótimo só que eles podiam colocar na batalha 10 segundos para para escolher porque é muito rápido você clica Você clica Sem querer aí você tem que batalhar e se eu tiver com deck ruim já era você perde Troféu  Resenha completa  ,3 de janeiro de 2018,Com a classificação 5 de cinco estrelas
4, Thiago Henrique ,  Supercell desde a última versão do jogo o jogo não roda eu coloco a carta e ela fica 3 anos pra aparecer e não é o meu wifi porque ele é 100 mega então por favor eu gosto muito do jogo mas não roda por isso estou te enviando a mensagem por favor me ajudem  Resenha completa  ,8 de janeiro de 2018,Com a classificação 4 de cinco estrelas
5, Marcel Li ,  Supercel cara cá vocês colocou gente que quer ganhar torneio com gente qe não sabe jogar mano o jogo  e muito injusto esses caras gemas de sendo de arena e vindo batalhar com gente sem lendaria mano deixei esse jogo mais justo  Obrigado pela atenção  Resenha completa  ,12 de janeiro de 2018,Com a classificação 3 de cinco estrelas
6, Otavio clesh ,  Olha supercell  ta chegando natal dava  pra vcs fazer um bau natalino que venha algumas lendarias e não desafios nen todo mundo e bom em desafios nen que seja cada um que vc clopleta desafio venha algumas lendarias  cada curtida nesse comentario vcs vão ver se fazen isso natal ja e domingo não e um dia gualquer como quase sempre ne vcs compriendem  Resenha completa  ,22 de dezembro de 2017,Com a classificação 5 de cinco estrelas
7, Jhonatan V ,  O jogo era bom até que ele começou a travar quando seu oponente atacar cartas com o custo de elixir alto e às vezes trava mesmo quando a internet está muito boa e isso começou a acontecer quando ele foi atualizado pesso que consertem isso até o torneio as cartas não estão com o nível de acordo  Resenha completa  ,4 de janeiro de 2018,Com a classificação 3 de cinco estrelas
8, Gabriel Ravadelli ,"  Supercell o novo baú do relâmpago das missões tá bugado conserte esse erro o mais rápido possível tem pessoas que não tão conseguindo acessar as contas,eu gosto muito desse joga mais não quero minha conta bugada  Resenha completa  ",20 de janeiro de 2018,Com a classificação 2 de cinco estrelas
9, ,  Adorei esse jogo tem gente que fica falando que não consegue carta nenhuma as coisas essas pessoas que não sabe jogar tudo bem eu não sou tão bom no Clash ainda tô na arena4 mas só estou dando minha opinião  Resenha completa  ,25 de dezembro de 2017,Com a classificação 5 de cinco estrelas
