,autor,comentario,data,nota
0, Viva A Felicidade ! ,"  Odeiooo... sou obrigada a usar ....Se para mandar msg pelo face tem q baixar um outro aplicativo , este deveria ser totalmente sem contato com o facebook , eu não uso o Mensseger  ,mas as pessoas podem mandar mensagem para mim , deveria ter uma opção para desativar mensagem.  Resenha completa  ",1 de março de 2018,Com a classificação 1 de cinco estrelas
1, Deinha ,"  Sem utilidade a função adicionar ao seu  dia pra que isso ?  Ta bugado pra ver a pessoa on line ! Durante a conversa aparece on line mas na verdade a pessoa Não esta demora uns 2 a 3 minutos pra atualizar e vervq a pessia tem 3 minutis q ja saiu . Só piora o facebook éo mesenger credo arrumem isso se não só Desinstalando mesmo  Resenha completa  ",2 de março de 2018,Com a classificação 2 de cinco estrelas
2, Eduardo Rocha ,"  Está perdendo o rumo e o sentido, sorry Markkkkkkkkk! PRA QUE misturar o Instagram com o WhatsApp numa panela e jogar a mistura em cima do Messenger?? Fica estúpido... Ja foi bom mas agr, eeennnnnnnhhhh... 😅  Resenha completa  ",1 de março de 2018,Com a classificação 2 de cinco estrelas
3, Clayton Torres ,"  Acredito que seja um dos aplicativos mais odiados da paly store. Baixamos pq basicamente somos obrigados a baixar. Tem um monte avaliação fake dando 5 estrelas apenas para aumentar a nota de aprovação do app. Enfim um app que não serve pra nada. Façam o seguinte voltem a antiga fórmula, deixem ele junto do Facebook. Parem de tentar rivalizar com o whatsapp, pois vocês NUNCA teram a mesma eficiência e aprovação que ele. Até porque ele também é um app do papai Mark.  Resenha completa  ",27 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
4, ,"  Mesmo eu lendo todas as mensagens continua marcando no ícone do app. É inútil, pesado e sem boas funcionalidades, até o falecido windows live - que Deus o tenha!! - é melhor que esse app.  Resenha completa  ",1 de março de 2018,Com a classificação 2 de cinco estrelas
5, Poliana Rodrigues ,"  Me polpe, nos polpe de baixar aplicativos Pesadíssimo. Só baixei pq fui obrigada, as vezes não estou online no messenger e to usando o face e amigos me mandam mensagem. Volte como era antes.  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
6, Marcio Seixas ,"  É bom aplicativo mas espiona muito suas conversas e faz muito barulho. É chato com as limitações.  Travam-no quando lhe travam no Facebook... Ou seja, por qualquer çoisa , ficas sem suas conversas privadas.  Resenha completa  ",3 de março de 2018,Com a classificação 2 de cinco estrelas
7, Rogéria Soeira ,"  PÉSSIMO! PÉSSIMO! Ter um App, que não sai da conta quando quero, não exclui todas as mensagens de uma só vez, recebo mensagens, em uma caixa de mensagens de pessoas que eu, não, quero, ter, como amigo, e não, quero, bloquear essa pessoa. E ainda ser OBRIGADA A TER ESSE APP! POW FACEBOOK MUDA ISSO AÍ!  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
8, Vinicius Silva ,"  Horrível. Trava o aparelho, não conecta, fica sempre aguardando rede, não sincroniza pessoas. É bugado e extremamente pesado, acaba com a bateria e deixa o aparelho muito lento. Péssimo, se desse daria 0 estrelas.  Resenha completa  ",28 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
9, Gabriel Groetaers Machado ,  O APP é bom mas só serve pra ocupar espaço já tenho o facebook não preciso deste APP mas sou obrigado e te-lo  Resenha completa  ,3 de março de 2018,Com a classificação 1 de cinco estrelas
10, Lucas Alves ,"  Rapaz sinceramente , uma bosta... trava pra caralho .. Que porra... e o pai de todas as merdas .. ainda é obrigatório se quiser conversar com alguém .. Em uma rede social isso é indignante  Resenha completa  ",1 de março de 2018,Com a classificação 1 de cinco estrelas
11, Phillipe Pessanha ,"  O App é bom, mas não tem como enviar músicas e também as vezes a pessoa não está online e fica aparecendo que a pessoa está online, isso é um bug, corrijam isso por favor, e coloquem a opção de poder enviar músicas.  Resenha completa  ",1 de março de 2018,Com a classificação 3 de cinco estrelas
12, Isael F. de Brito ,  Depois da última atualização ficou desconectando... 👀 tava tão bom ai sempre tem aquela atualização que não acrescenta nada de bom so bugs  Resenha completa  ,4 de março de 2018,Com a classificação 2 de cinco estrelas
13, Rayane Caroline ,"  Muito bom! Resolvi desativar de vez meu Facebook, mas ainda queria manter contato com pessoas que tem essa rede social, amei não precisa manter o Facebook pra manter o Messenger ativo, mas tenho duas reclamações a fazer: a primeira é ter obrigatoriamente que adicionar a pessoa que estamos conversando, isso é chato, e a segunda é não ter a opção de apagar buscas realizadas... Melhorem isso, por favor!!!  Resenha completa  ",3 de março de 2018,Com a classificação 4 de cinco estrelas
14, Marcelo Ferreira ,"  A versão antiga era mais interessante. Estou sendo obrigado a baixa o aplicativo, pois antes não era assim. Péssimo!  Resenha completa  ",3 de março de 2018,Com a classificação 2 de cinco estrelas
15, Maria Helena Batista ,  Já foi bom. Mas esse negócio de ter que baixar link e fazer download das mensagens quebrou. Enche o saco. E nunca baixa nada.  Agora descobri que mesmo apagando as conversas as mídias ainda continuam no app. É como se vocês tivessem tomado posse das minhas fotos e vídeos. Não gostei disso. Por favor coloca um recurso de apagar essas mídias por definitivo sem deixar rastros.  Resenha completa  ,4 de março de 2018,Com a classificação 2 de cinco estrelas
16, Igor Costa ,"  Muito simples e intuitivo. Seria interessante adicionar a opção de responder uma mensagem, pois pode ser confuso falar em grupo tratando de diversos assuntos e coisa do tipo.  Resenha completa  ",2 de março de 2018,Com a classificação 5 de cinco estrelas
17, Viic Mendes ,"  A única coisa que não gostei é porque no meu não possui efeitos durante a chamada, gostaria que por favor dessem um jeito! Obgd.  Resenha completa  ",3 de março de 2018,Com a classificação 3 de cinco estrelas
18, Yasmin Lima ,"  Te obrigam a usar para ver mensagens do Facebook.  Além de ser muito pesado. Detesto, assim como a maioria dos meus amigos  Resenha completa  ",3 de março de 2018,Com a classificação 1 de cinco estrelas
19, Alana Sousa ," Satisfatório... É bem satisfatório em comunicação, mas deveria liberar mais jogos para todos os tipo de celulares e Androids.  Resenha completa  ",1 de março de 2018,Com a classificação 3 de cinco estrelas
20, Brian Wyatt ,"  Ao usar a opção de ver quem está online, o aplicativo fica travado, demora uns 30 segundos pra ficar normal. Arrumem isso  Resenha completa  ",28 de fevereiro de 2018,Com a classificação 3 de cinco estrelas
21, Danielbrmod XBR ,"  Quando pesquiso por uma pessoa ela fica aparecendo em ligações, deveria ter a opção de limpar sugestões, histórico de pesquisas.  Resenha completa  ",3 de março de 2018,Com a classificação 1 de cinco estrelas
22, Giih Mendes ,"  Bom o Messenger podia ser que nem o WhatsApp apagar as mensagens enviadas,ia ser bem melhor por favor fazem essa atualização  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
23, Ana Castro ,  O meu mensager diz que todas as pessoas estao online...e eu tenho as horas certas no telemóvel e diz que mando mensagem noutra hora...o meu telemóvel é o j5 2017  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
24, janailly Silva ,  Essa M**** não quer baixar e tem mega byte disponível o suficiente para baixar mais fica só em download pendente  Resenha completa  ,4 de março de 2018,Com a classificação 1 de cinco estrelas
25, ,  Querem obrigar quem tem Facebook a usar esse lixo desinstalo e logo vem uma notificação e fica marcada no logo do face tirem esse lixo da playstore.  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
26, Bruno Moreira ,  Nao é justo com os usuarios do facebook sejam obrigados a baixar um app pesado que come um espaço enorme e a ultilidade e ferramentas sao orriveis.  Resenha completa  ,1 de março de 2018,Com a classificação 1 de cinco estrelas
27, ,  É uma bosta prefiro quando enviava mensagem pelo face e recibos pelo face agora é uma bosta ter que abaixa esse aplicativo lixo  Resenha completa  ,3 de março de 2018,Com a classificação 1 de cinco estrelas
28, ,  Com muita sobre atualizações está ficar sobrecarregado não está um ótimo aplicativo como já foi um dia.  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
29, ,  Eu adoro o menssenger e o melhor o face e em 2 lugar o Messenger e o 1 e não é a primeira vez que eu instalo o menssenger eu passo pra todas as mhs migas e elas adoram muito obgd por existir menssenger e Facebook obgd mesmo e muito bom eu adorooooo posso falar com todas as mhs migas no menssengemger e muito bom quem não gosta do menssenger e idiota por que o menssenger e muito bom 😎  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
30, ,  Genteee e otimo amei super recomendo garanto q vcs vao amar a e esses povos q estao falando q e ruim vai preoucurar algo para fazer seila tipo lavar casa lavar vasilia se liga  Resenha completa  ,2 de março de 2018,Com a classificação 5 de cinco estrelas
31, Marilsa Fernandes ,  Não está bom pq mesmo sem estar online fica mostrando que esta melhora isso  Resenha completa  ,4 de março de 2018,Com a classificação 2 de cinco estrelas
32, ,  Só acho q tinha que ter menos bugue todo aparelho q eu já tive foi sempre o mesmo bugue  Resenha completa  ,3 de março de 2018,Com a classificação 3 de cinco estrelas
33, Ronald simões ,"  Um lixo... Ter d baixar 2 apps do face é ridículo. Um p ver face e outro p ver as msgs! Tosco, lixo total!  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
34, B L A K E ,  Só tá ruim na minha opinião pq não tem como edita os vídeos tipo não tem como corta uma parte de um vídeo não tem como marca a mensagem pra responde ela igual no WhatsApp adicionar isso vai ficar muito bom  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
35, Glaucia Lacerda ,"  Só trava, só tenho pq se não, não é possível ver as mensagens do face. Recentemente ficou pedindo para atualizar e agora que atualizei o APP nem abre mais fica só aparecendo mensagem de que o APP travou  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
36, Iris Macedo Rocha ,"  Me ajude!Eu  carrrguei muitas vezes  no botão ""reenviar mensagem"" de quando s cria o menseger  e disseram que bloquearam o meu  asseço e não consigo entrar no aplicativo!Me ajude  por favor preciso muito  dessa aplicacao  Resenha completa  ",28 de fevereiro de 2018,Com a classificação 3 de cinco estrelas
37, Karine Santos ,  Eu nao entendo porque o apps nao me da a opção de excluir as chamadas do histórico. Ja tentei de todas as formas algumas pessoas me disseram que tem esse recurso mas acredito que é so pra quem tem beta... E o beta ja nao esta mais disponível... Aff isso é horrivel  Resenha completa  ,1 de março de 2018,Com a classificação 1 de cinco estrelas
38, Geiza Carmo ,"  Acho um absurdo essa ""obrigação"" de usar esse aplicativo, pois vc desinstala e mesmo assim fica recebendo notificações dos amigos q não somem do aparelho.Aplicativo pesado, q trava o celular e atrapalha qdo se está conversando no zap.Detesto!  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
39, Thiago Sant' Anna Alves ,  Um App do Facebook e temos que abrir outro App para usar Messenger sem sentido isso  Resenha completa  ,3 de março de 2018,Com a classificação 1 de cinco estrelas
