,autor,comentario,data,nota
0, ,  Acho que o Whatsapp deveria ter mais segurança  Resenha completa  ,3 de março de 2018,Com a classificação 5 de cinco estrelas
1, ,  Pq no meu naum tem chamada de vídeo?  Resenha completa  ,2 de março de 2018,Com a classificação 4 de cinco estrelas
2, Pedro Henrique Gomes ,  E bom  Resenha completa  ,3 de março de 2018,Com a classificação 5 de cinco estrelas
3, ,  Bom  Resenha completa  ,3 de março de 2018,Com a classificação 5 de cinco estrelas
4, Lucas morais ,  Não consegue acessa meu whatsapp porque esqueci código de duas etapa não resolve isso até agora  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
5, Andre Luiz ,  O meu WhatsApp está saindo quando eu converso com meu amigos 😤😠  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
6, ,  Mt atualização p nd de mudança.  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
7, otako br ,  V:  Resenha completa  ,2 de março de 2018,Com a classificação 1 de cinco estrelas
8, ,  Otimo  Resenha completa  ,3 de março de 2018,Com a classificação 5 de cinco estrelas
9, Cristina A Carlin Passos ,  Para um app de 1 bilhão de usuårios poderia ser muito melhor  Resenha completa  ,2 de março de 2018,Com a classificação 4 de cinco estrelas
10, Dhayana Forever ,  Deveria ter avopcao de curti e nao curti  Resenha completa  ,1 de março de 2018,Com a classificação 5 de cinco estrelas
11, Juliana Santana ,  Adorei cada vez melhor .  Resenha completa  ,1 de março de 2018,Com a classificação 5 de cinco estrelas
12, perseus vorazes ,  Mt atualizacao desnecessaria  Resenha completa  ,3 de março de 2018,Com a classificação 3 de cinco estrelas
13, ,  Bom pra caramba  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
14, ,  Bom  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
15, Dieverson Cristhian ,  Bom  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
16, Douglas Matheus S. Chacon ,  Bacana  Resenha completa  ,1 de março de 2018,Com a classificação 5 de cinco estrelas
17, sheila regina ,  Só as chamadas que falham muito a ligação!  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
18, ,  Bom de mais!  Resenha completa  ,27 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
19, original craft ,  É muito bom  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
20, ,  Vive travando e saindo do ar  Resenha completa  ,1 de março de 2018,Com a classificação 1 de cinco estrelas
21, dodoko gg do clash ,  Bom de mais  Resenha completa  ,4 de março de 2018,Com a classificação 5 de cinco estrelas
22, ,  Era pra ser melhor  Resenha completa  ,27 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
23, Nicoly Faria ,  É muito bommmmmm  Resenha completa  ,4 de março de 2018,Com a classificação 5 de cinco estrelas
24, Kaio Edvaldo , Bosta Kkk.  Resenha completa  ,3 de março de 2018,Com a classificação 5 de cinco estrelas
25, Kay Gomes ,  BOM  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
26, Raquel Sampaio ,"  Depois dessa última atualização, tiraram a opção de encaminhar mensagem ou mídia para usuário individual ou grupos, App ocupando muito espaço interno,  para baixar uma mídia é um parto! Pessoal, sei que vcs tem a capacidade de melhorar isso ou caso contrário irão perder para a concorrência!!  Resenha completa  ",4 de março de 2018,Com a classificação 2 de cinco estrelas
27, Diego Gonçalves de Araujo ,"  Tenho problemas em reproduzir vídeos em meu ZenFone 2. Os vídeos ficam paralisados. Só consigo reproduzi-los entrando na galeria. Venho pesquisando sobre este problema e descobri que isto acontece com os ZenFone 2, especificamente.  Resenha completa  ",3 de março de 2018,Com a classificação 3 de cinco estrelas
28, Lucas Cavalhero ,  Eu estou só com um probleminha quando eu tento mudar o nome do contato muda só na minha agenda mas o nome no Whatsapp não muda fica o mesmo antigo! Se a equipe do Whatsapp ver isso e puder me ajudar ficaria agradecido!  Resenha completa  ,28 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
29, ,"  Eu amo este app. Só que tem uma pequena coisa que deveriam vcs arrumar. Número que não tem na nossa agenda e foi e a gente bloqueia,  não deveria aparecer em lista de bloqueio. Deveria sumir .  Resenha completa  ",3 de março de 2018,Com a classificação 5 de cinco estrelas
30, Max Ferreira ,"  Depois dessa atualização fica aparecendo a seguinte mensagem ""falha ao compartilhar. Por favor, tente novamente"" mesmo sem eu compartilhar nada, aparece sempre que eu entro no app  Resenha completa  ",3 de março de 2018,Com a classificação 1 de cinco estrelas
31, ,  A cada atualização vocês mundão alguma coisa agora mesmo o meu status não está enviando os vídeos que quero compartilhar pôr favor arrumém isso  Resenha completa  ,3 de março de 2018,Com a classificação 3 de cinco estrelas
