,autor,comentario,data,nota
0, Claydson Rocha ,"  Estava tudo perfeito a anos, mas pós atualização, só recebo as mensagens com o app aberto. Já fiz vários testes com meu moto z2 force e com o moto X4 os dois não estão aparecendo as notificações e só recebemos as msg com o app aberto. Favor corrigir  Resenha completa  ",25 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
1, Otávio vitor ,"  É perfeito e tem tudo que eu preciso, mas só tenho uma reclamação boba pra fazer... Poderiam fazer com que todas as fotos colocadas no perfil permaneçam lá e não apenas 80? Obrigado!  Resenha completa  ",22 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
2, ,  A opção de busca parou de funcionar já desista- lei e o instalei  novamente não aparece nenhum grupo que eu procure tem alguma configuração para esse erro.  Resenha completa  ,24 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
3, ,  alguém ai responsavel grupos de pedofilia tao sendo criados lá cade as aultoridades. alguém faz alguma coisa  cade o linke do dono do app ou algum adm pra punir e prender estes caras  Resenha completa  ,23 de fevereiro de 2018,Com a classificação 2 de cinco estrelas
4, Joycimara Sa ,  Até hoje é o melhor aplicativo pra se comunicar falta mais sticker e uma forma de encontrar eles com mais facilidade. Só não entendi por que de uns dias pra cá teve muitas atualizações.  Resenha completa  ,18 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
5, Rafael Marques ,"  excelente aplicativo, porém, após as últimas atualizações, não chega mais a notificação de novas mensagens, tenho que ficar abrindo o aplicativo para ver se tem novas mensagens, um incômodo!  Resenha completa  ",25 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
6, Eduardo F ,"  O aplicativo está tendo delay, você só consegue ver as novas mensagens quando abre o telegram, ele não acusa novas mensagens na notificação do celular.  Resenha completa  ",22 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
7, Mateus Resende ,"  O Ceo, Pavel Durov, deveria ganhar o prêmio Nobel pela política e exemplo de condução pela privacidade dos dados e usuários. Mantendo restrições duras de segurança sem que abra brechas para governo e corporações façam o uso indevido dos dados da plataforma para fins particulares e nao civis.  Resenha completa  ",23 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
8, ,  Esse app nem se compara com o watt zap e consigo baixar músicas tb é ótimo muito melhor que essas porcarias que usam hoje em dia essa é minha opinião e n ligo para as opinião dos outros.  Resenha completa  ,18 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
9, Eduardo F. ,"  Parece estar fora do ar no aparelho! Falta a opção de organizar por abas, encaminhar sem assinatura, esconder foto para quem não for da agenda, mais caracteres para bio, mostrar o número total de participantes dos canais que não somos administradores, e possibilidade de banir quem sair dos canais igual já é possível fazer nos grupos!  Resenha completa  ",27 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
10, Ane Oliver ,"  I would give 10 stars however I will give 4 stars. It will be perfect if you put the option moments or  story to share photos as have in others apps. ADMINISTRATORS PLEASE!!! Really is an excellent app to msg, audio msg , have excelents features.  Resenha completa  ",26 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
11, Ruben Francisco Orellana Aizprua ,"  É demais! Parece que o whatsapp tem seus dias contados,  rsrs  Resenha completa  ",22 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
12, Wagner Pereira ,"  Esta atualizando demais, ainda não está enviando as mensagens enviadas. Desse jeito vocês quer melhor que whatsapp. Tive que para usar por causa disso vocês não melhoram... Telegram melhor que whatsapp mais desse jeito não dá pra usar... Melhora isso...  Resenha completa  ",18 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
13, Kekezita Roden Shennig Parrilla ,"  Esse é o melhor apps com certeza, mas uma dica que poderia melhorar ele: além de poder colocar legenda nos gifs pesquisados, seria muito, muito, muito bom tirar o limite de caracteres das Mídias.  Resenha completa  ",4 de março de 2018,Com a classificação 5 de cinco estrelas
14, carmem gomes araujo ,"  Eu só o instalei agora, não o conhecia porém está sendo muito útil para eu ouvir as Pílulas do Evangelho do instituto Namaste do Ricardo Mello  Resenha completa  ",19 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
15, Keilla Alves Fogaça S. ,"  É um app muito bom, mas falta ter chamadas por videos e ter uma previa de videos recebido e a opção se quer baixar o video sim ou nao. Obg.  Resenha completa  ",23 de fevereiro de 2018,Com a classificação 3 de cinco estrelas
16, Mateus Nunes ,  Eu troquei o uÓtzÉp por ele e Skype lite. Ambos tem mais dúvida e não se prendem à adição numérica. É fluido e mais leve que alguns concorrentes  Resenha completa  ,2 de março de 2018,Com a classificação 5 de cinco estrelas
17, ,  Precisa de videochamada e configuração de segurança ponta a ponta facilitada e generalizada. Sem isso não tem como levar a sério a competição com o Facebook (WhatsApp) para o usuário simples.  Resenha completa  ,2 de março de 2018,Com a classificação 4 de cinco estrelas
18, Altacyr Junior ,"  Permitam salvar documentos, fotos e videos e etc no cartão SD, quando o streaming é acionado o video não inicia automaticamente e não aparece nenhuma barra de progresso (fica parecendo que o video não baixa ou esta travado) e só roda quando o download é completado e não aparece mais o número de pessoas online nos grupos e o bancos de dados não esta reduzindo quando manda limpar e tirem o vibrar ao deslizar a mensagem para a esquerda  Resenha completa  ",2 de março de 2018,Com a classificação 3 de cinco estrelas
19, Maxwell Guedes ,"  O aplicativo é bom. Mas é necessário uma opção de denunciar, pois tem grupos impróprios sendo criados lá. Como pessoas postando pedofilia, isso é inadmissível.  Resenha completa  ",23 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
20, Jay C ,"  Simplemente ,não está chegando a msg com o código para ativar ele ! Meu chip está em outro celular , mas era para funcionar ! O WhatsApp da de boa.  Resenha completa  ",26 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
21, Danilo Monteiro ,"  O aplicativo é excelente, muito legal de usar, principalmente pelos stickers! Mas os emojis deveriam ser um pouco maiores de tamanho. Fora isso, não há o que reclamar!  Resenha completa  ",2 de março de 2018,Com a classificação 4 de cinco estrelas
22, ,  O app ta horrível  não  consigo mais fazer as chamadas a pessoa atende e nós não  nos escuta um ao outro tentem melhorar isso!  Resenha completa  ,27 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
23, Ayala Lourenço ,"  Já é a terceira vez que instalo esse aplicativo e mesmo colocando o número certo, não vem o código e não dá pra ir em frente .  Quando vão dar um jeito nisso ?????  Resenha completa  ",2 de março de 2018,Com a classificação 1 de cinco estrelas
24, Túlio Sciotta ,"  Ótimo, mil vezes melhor que WhatsApp! Porém, nessa última atualização as notificações não vem com a mensagem escrita, fica um espaço em branco.  Resenha completa  ",19 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
25, Katia Lopes ,"  Estou tentando entrar e só me diz que tentei muitas vezes, tente novamente mais tarde. Quero saber pq?  Resenha completa  ",27 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
26, Junior Vale ,"  Excelente app, x vezes melhor que o WhatsApp. Velocidade nas mensagens, arquivos grandes, super grupos enfim muito bom mesmo parabéns aos desenvolvedores.  Resenha completa  ",18 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
27, ,"  É muito bom, mas anda muito instável. Só recebo as msg com o app aberto, a ligação fica indo e vindo.  Ta uma farofa!  Resenha completa  ",25 de fevereiro de 2018,Com a classificação 3 de cinco estrelas
28, NegraA Ju ,  Adorei ele. Muito mais rapido qur whatsap  Resenha completa  ,26 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
29, Luigi Kurihara ,"  Após última atualização, algumas msgs de vídeo travam...  Resenha completa  ",19 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
30, Julianaa ,"  O app é muito bom mas nao consigo ativa-lo, pois o código para ativar NÃO ESTÁ ENVIANDO  Resenha completa  ",21 de fevereiro de 2018,Com a classificação 3 de cinco estrelas
31, Vanderley Dérik ,  Melhor Qui O WhatsApp! Só O Ouro👌✌  Resenha completa  ,25 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
32, Marcus Vinicius Cardoso de Brito Mello ,  Até  agora tem me agradado.  Só não entendi por quê fica toda hora atualizando pela mesma versão 4.8  Resenha completa  ,17 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
33, Daniel Bueno ,"  funciona como o Whatsapp, mas não te limita no comprimento dos arquivos de áudio e de vídeo. Bastante funcional, um ótimo App de mensagens.  Resenha completa  ",18 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
34, Lennon Dias ,"  Tem que melhorar as notificações, maioria só aparece se o app estiver aberto.  Resenha completa  ",1 de março de 2018,Com a classificação 5 de cinco estrelas
35, Leonam ,"  A um ano tentei instalar, mas não recebi o código para ativar, desisti, agora, um ano depois, mesmo problema, não recebo o código de forma alguma, mais de 30 tentativas.  Resenha completa  ",20 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
36, ,  Sempre fica em conexão (todos os outros app conectados). O que faz a conversa da mensagem não ser instantânea.  Resenha completa  ,27 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
37, Denis Rodrigues Cassiano ,  Excelente!! Melhor que o whatsapp e mais seguro e organizado. Excelente controle das notificações!  Resenha completa  ,18 de fevereiro de 2018,Com a classificação 5 de cinco estrelas
38, Um usuário ,"  Em termos de segurança, não tem outro melhor. Além disso, consigo conectar duas contas de números diferentes.  Resenha completa  ",20 de fevereiro de 2018,Com a classificação 4 de cinco estrelas
39, William Dos Santos ,"  Ta uma porcaria, seus incompetentes ignorantes não passa meu áudio para a pessoa q amo, vão aprender a desenvolver um aplicativo de comunicação 😡😡😡😡😡  Resenha completa  ",27 de fevereiro de 2018,Com a classificação 1 de cinco estrelas
